species,url,name,subname,description
arabica,https://varieties.worldcoffeeresearch.org/varieties/anacafe-14,Anacafe 14,Catimor,"Very high yielding variety, with rust resistance and good quality at elevations above 1300 meters. Variety not uniform."
arabica,https://varieties.worldcoffeeresearch.org/varieties/batian,Batian,"","A tall variety that combines high yields, tolerance to coffee leaf rust, resistance to coffee berry disease, and good cup quality."
arabica,https://varieties.worldcoffeeresearch.org/varieties/bourbon,Bourbon,"","One of the most culturally and genetically important C. arabica varieties in the world, known for excellent quality in the cup at the highest altitudes."
arabica,https://varieties.worldcoffeeresearch.org/varieties/bourbon-mayaguez-139,Bourbon Mayaguez 139,BM139,Vigorous and highly productive tall variety with very good cup quality. Found commonly in Rwanda and Burundi.
arabica,https://varieties.worldcoffeeresearch.org/varieties/bourbon-mayaguez-71,Bourbon Mayaguez 71,BM71,"Moderate yield, good cup potential, and susceptible to major diseases. Adapted for medium altitudes. Found commonly in Rwanda and Burundi."
arabica,https://varieties.worldcoffeeresearch.org/varieties/caripe,Caripe,Criollo Cogollo Verde,Very good cup quality with large beans. An important regional variety in Monagas state in northeastern Venezuela.
arabica,https://varieties.worldcoffeeresearch.org/varieties/casiopea,Casiopea,"","High yielding variety, with exceptional quality at elevations above 1300 meters."
arabica,https://varieties.worldcoffeeresearch.org/varieties/catimor-129,Catimor 129,"Cat129, Nyika","High yielding/Dwarf/Compact variety resistant to coffee leaf rust and coffee berry disease. Found commonly in Malawi, Zambia, and Zimbabwe."
arabica,https://varieties.worldcoffeeresearch.org/varieties/catisic,Catisic,Catimor,Adapted to warmest zones and acidic soils. High yielding.
arabica,https://varieties.worldcoffeeresearch.org/varieties/catuai,Catuai,"",A compact plant with high yielding potential of standard quality in Central America. Very high susceptibility to coffee leaf rust.
arabica,https://varieties.worldcoffeeresearch.org/varieties/caturra,Caturra,"",A compact plant with good yielding potential of standard quality in Central America. Very high susceptibility to coffee leaf rust.
arabica,https://varieties.worldcoffeeresearch.org/varieties/centroamericano,Centroamericano,H1,"Very high yielding with very good quality potential if planted in healthy soil and at elevations >1300 meters, with resistance to rust. Well-adapted for agroforestry."
arabica,https://varieties.worldcoffeeresearch.org/varieties/costa-rica-95,Costa Rica 95,Catimor,High yielding variety adapted to warmest zones and acidic soils.
arabica,https://varieties.worldcoffeeresearch.org/varieties/cuscatleco,Cuscatleco,Sarchimor,Well-adapted to medium altitudes. Resistant to coffee leaf rust and some nematodes.
arabica,https://varieties.worldcoffeeresearch.org/varieties/esperanza,Esperanza,L4 A5,"Variety with very high productivity, tolerance to rust, and very good quality. Excellent adaptation to humid environments."
arabica,https://varieties.worldcoffeeresearch.org/varieties/evaluna,Evaluna,EC18,Very high yielding variety at elevations at high altitudes.
arabica,https://varieties.worldcoffeeresearch.org/varieties/fronton,Fronton,Catimor,Early production and high yielding plant resistant to coffee leaf rust. Well-adapted to low and medium altitudes. Found primarily in Puerto Rico.
arabica,https://varieties.worldcoffeeresearch.org/varieties/geisha-panama,Geisha (Panama),Gesha,"Panamanian Geisha has exceptionally high quality at high altitudes. The term ""Geisha"" is often applied to other coffees that do not share the distinct genetics of Panamanian Geisha. Geisha is also cultivated widely in Malawi."
arabica,https://varieties.worldcoffeeresearch.org/varieties/h3,H3,"","High yielding variety, with very good quality at elevations above 1300 meters."
arabica,https://varieties.worldcoffeeresearch.org/varieties/harar-rwanda,Harar Rwanda,Harar or Harraghe,"High yielding with very good cup quality potential, but susceptible to the major diseases and prone to die back. This is the Harar variety sometimes found in Rwanda (no longer recommended by Rwandan coffee authorities because of its short productive life)."
arabica,https://varieties.worldcoffeeresearch.org/varieties/iapar-59,IAPAR 59,Sarchimor,High yielding plant adapted to medium altitudes. Resistant to coffee leaf rust and some nematodes.
arabica,https://varieties.worldcoffeeresearch.org/varieties/ihcafe-90,IHCAFE 90,Catimor,High yielding plant adapted to lowest altitudes. Requires high fertilization.
arabica,https://varieties.worldcoffeeresearch.org/varieties/jackson-2-1257,Jackson 2/1257,Jackson,Very vigorous and highly productive. Found commonly in Rwanda and Burundi.
arabica,https://varieties.worldcoffeeresearch.org/varieties/java,Java,"","High quality in Central America. Tolerant to major diseases, with low fertilizer requirement. Good choice for smallholder farmers."
arabica,https://varieties.worldcoffeeresearch.org/varieties/k7,K7,"",Tolerant to coffee leaf rust and coffee berry disease. Found primarily in Kenya and Tanzania.
arabica,https://varieties.worldcoffeeresearch.org/varieties/kp423,KP423,"",Tolerant of drought and coffee leaf rust but highly susceptible to coffee berry disease. Found mostly in Uganda.
arabica,https://varieties.worldcoffeeresearch.org/varieties/lempira,Lempira,Catimor,High yielding variety adapted to warmest zones and acidic soils.
arabica,https://varieties.worldcoffeeresearch.org/varieties/limani,Limani,Sarchimor,An elusive Puerto Rican variety.
arabica,https://varieties.worldcoffeeresearch.org/varieties/maragogipe,Maragogipe,"","Good to very good cup quality in Central America, but highly susceptible to rust. Very low yielding, large leaves and large internodes."
arabica,https://varieties.worldcoffeeresearch.org/varieties/marsellesa,Marsellesa,Sarchimor,High yielding plant adapted to medium altitudes. Notably high acidity in the cup.
arabica,https://varieties.worldcoffeeresearch.org/varieties/mibirizi,Mibirizi,"","Exceptional cup quality and drought tolerant, but highly susceptible to major diseases. Important variety for smallholder coffee growers in Rwanda and Burundi."
arabica,https://varieties.worldcoffeeresearch.org/varieties/milenio,Milenio,H10,"Very high-yielding variety, with rust resistance and good quality at elevations above 1300 meters. Variety not uniform."
arabica,https://varieties.worldcoffeeresearch.org/varieties/monte-claro,Monte Claro,"Ombligon, Lechocita","Compact variety with very good cup quality and large beans, tolerance to coffee leaf rust and nematodes, and high yield potential. An important regional variety in Venezuela."
arabica,https://varieties.worldcoffeeresearch.org/varieties/mundo-maya,Mundo Maya,EC16,"Very high yielding variety if planted in healthy soil, with very good quality at elevations above 1300 meters. Well-adapted to agroforestery conditions."
arabica,https://varieties.worldcoffeeresearch.org/varieties/mundo-novo,Mundo Novo,"","A vigorous and productive plant with good quality cup but susceptible to major diseases. Grown widely in South America, but rarely in Central America and the Caribbean."
arabica,https://varieties.worldcoffeeresearch.org/varieties/nayarita,Nayarita,EC19,High yielding variety at high altitudes with very good cup quality.
arabica,https://varieties.worldcoffeeresearch.org/varieties/nemaya,Nemaya (Coffea canephora),Rootstock,A Robusta variety used for rootstock grafting because of its high resistance to nematodes. Arabica plants (any variety) can be grafted onto Nemaya roostock to make the plant resistant to nematodes.
arabica,https://varieties.worldcoffeeresearch.org/varieties/nyasaland,Nyasaland,"Bugisu local, Nyasa","Good cup quality, but susceptible to major diseases. Preferred by smallholder farmers in Uganda."
arabica,https://varieties.worldcoffeeresearch.org/varieties/obata-red,Obata (Red),Sarchimor,"A high yielding, rust-resistant Brazilian variety recently introduced to Costa Rica."
arabica,https://varieties.worldcoffeeresearch.org/varieties/oro-azteca,Oro Azteca,Catimor,Adapted to warmest zones and acidic soils. High yielding.
arabica,https://varieties.worldcoffeeresearch.org/varieties/pacamara,Pacamara ,"",Capable of producing exceptional cup quality. Very high susceptibility to coffee leaf rust. Variety not uniform; plants are not stable from one generation to the next.
arabica,https://varieties.worldcoffeeresearch.org/varieties/pacas,Pacas,"",Standard quality in Central America. Very high susceptibility to coffee leaf rust.
arabica,https://varieties.worldcoffeeresearch.org/varieties/pache,Pache,"","A compact plant with medium yield and good quality, but highly susceptible to major diseases."
arabica,https://varieties.worldcoffeeresearch.org/varieties/parainema,Parainema,Sarchimor,"Well-adapted to medium altitudes, resistant to coffee leaf rust and some nematodes."
arabica,https://varieties.worldcoffeeresearch.org/varieties/pop3303,Pop3303/21,"","High yielding with tolerance to drought, coffee leaf rust, and coffee berry disease. Adapted to a wide range of ecosystems. Found mostly in Rwanda."
arabica,https://varieties.worldcoffeeresearch.org/varieties/rab-c15,RAB C15,"",High yielding tall variety resistant to rust and coffee berry disease recently released in Rwanda.
arabica,https://varieties.worldcoffeeresearch.org/varieties/ruiru-11,Ruiru 11,"","High-yielding, Dwarf/Compact hybrid tolerant to coffee leaf rust and resistant to coffee berry disease (CBD). Released in Kenya."
